country;lat;lon
MACAU;22.1667;113.55
MACEDONIA;41.8333;22.0
MADAGASCAR;-20.0;47.0
MALAWI;-13.5;34.0
MALAYSIA;2.5;112.5
MALDIVES;3.25;73.0
MALI;17.0;-4.0
MALTA;35.8333;14.5833
MARSHALISLANDS;9.0;168.0
MARTINIQUE;14.6667;-61.0
MAURITANIA;20.0;-12.0
MAURITIUS;-20.2833;57.55
MAYOTTE;-12.8333;45.1667
MEXICO;23.0;-102.0
MICRONESIA;6.9167;158.25
MOLDOVA;47.0;29.0
MONACO;43.7333;7.4
MONGOLIA;46.0;105.0
MONTSERRAT;16.75;-62.2
MOROCCO;32.0;-5.0
MOZAMBIQUE;-18.25;35.0
MYANMAR;22.0;98.0
NAMIBIA;-22.0;17.0
NAURU;-0.5333;166.9167
NEPAL;28.0;84.0
NETHERLANDANTILLES;12.25;-68.75
NETHERLANDS;52.5;5.75
NEWCALEDONIA;-21.5;165.5
NEWZEALAND;-41.0;174.0
NICARAGUA;13.0;-85.0
NIGER;16.0;8.0
NIGERIA;10.0;8.0
NIUE;-19.0333;-169.8667
NORFOLKISLAND;-29.0333;167.95
NORTHIRELAND;54.3;1.55
NORTHERNMARIANASISLANDS;15.2;145.75
NORWAY;62.0;10.0
OMAN;21.0;57.0
PAKISTAN;30.0;70.0
PALAU;7.5;134.5
PANAMA;9.0;-80.0
PAPUANEWGUINEA;-6.0;147.0
PARAGUAY;-23.0;-58.0
PERU;-10.0;-76.0
PHILIPPINES;13.0;122.0
POLAND;52.0;20.0
PORTUGAL;39.5;-8.0
PUERTORICO;18.25;-66.5
QATAR;25.5;51.25
REUNION;-21.1;55.6
ROMANIA;46.0;25.0
RUSSIA;60.0;100.0
RWANDA;-2.0;30.0
SAINTHELENA;-15.9333;-5.7
SAINTKITTSANDNEVIS;17.3333;-62.75
SAINTLUCIA;13.8833;-61.1333
SAINTPIERREANDMIQUELON;46.8333;-56.3333
SAINTVINCENTANDTHEGRENADINES;13.25;-61.2
SAMOA;-13.5833;-172.3333
SANMARINO;43.7667;12.4167
SAOTOMEANDPRINCIPE;1.0;7.0
SAUDIARABIA;25.0;45.0
SCOTLAND;55.57;3.11
SENEGAL;14.0;-14.0
SEYCHELLES;-4.5833;55.6667
SIERRALEONE;8.5;-11.5
SINGAPORE;1.3667;103.8
SLOVAKREPUBLIC;48.6667;19.5
SLOVENIA;46.0;15.0
SOLOMONISLANDS;-8.0;159.0
SOMALIA;10.0;49.0
SOUTHAFRICA;-29.0;24.0
SOUTHGEORGIAANDTHESOUTHSANDWICHISLANDS;-54.5;-37.0
SPAIN;40.0;-4.0
SRILANKA;7.0;81.0
SUDAN;15.0;30.0
SURINAME;4.0;-56.0
SVALBARDANDJANMAYENISLANDS;78.0;20.0
SWAZILAND;-26.5;31.5
SWEDEN;62.0;15.0
SWITZERLAND;47.0;8.0
SYRIA;35.0;38.0
TAIWAN;23.5;121.0
TAJIKISTAN;39.0;71.0
TANZANIA;-6.0;35.0
THAILAND;15.0;100.0
TOGO;8.0;1.1667
TOKELAU;-9.0;-172.0
TONGA;-20.0;-175.0
TRINIDADANDTOBAGO;11.0;-61.0
TUNISIA;34.0;9.0
TURKEY;39.0;35.0
TURKMENISTAN;40.0;60.0
TURKSANDCAICOSISLANDS;21.75;-71.5833
TUVALU;-8.0;178.0
UGANDA;1.0;32.0
UKRAINE;49.0;32.0
UNITEDARABEMIRATES;24.0;54.0
ENGLAND;54.0;-2.0
USA;38.0;-97.0
URUGUAY;-33.0;-56.0
UZBEKISTAN;41.0;64.0
VANUATU;-16.0;167.0
VATICANCITY;41.9;12.45
VENEZUELA;8.0;-66.0
VIETNAM;16.0;106.0
VIRGINISLANDS(BRITISH);18.3333;-64.8333
WALES;51.28;3.10
WALLISANDFUTUNAISLANDS;-13.3;-176.2
WESTERNSAHARA;24.5;-13.0
YEMEN;15.0;48.0
ZAIRE;-20.0;30.0
ZAMBIA;-15.0;30.0
ZIMBABWE;-20;30
