Link,Abstract,Author Keywords,Index Keywords
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887614624&doi=10.1016%2fj.rfe.2013.05.005&partnerID=40&md5=ce7ed29c8dafbcd2bae5d08f3be9a92b","Opponents of the efficient markets hypothesis argue that predictability reflects the psychological factors and ""fads"" of irrational investors in a speculative market. In that, conventional time series analysis often fails to give an accurate forecast for financial processes due to inherent noise patterns, fat tails, and nonlinear components. A recent stream of literature on behavioral finance has revealed that boundedly rational agents using simple rules of thumb for their decisions under uncertainty provides a more realistic description of human behavior than perfect rationality with optimal decision rules. Consequently, the application of technical analysis in trading could produce high returns. Machine learning techniques have been employed in economic systems in modeling nonlinearities and simulating human behavior. In this study, we expand the literature that evaluates return sign forecasting ability by introducing a recurrent neural network approach that combines heuristic learning and short-term memory emulation, thus mimicking the decision-making process of boundedly rational agents. We investigate the relative direction-of-change predictability of the neural network structure implied by the Lee-White-Granger test as well as compare it to other well-established models for the DJIA index. Moreover, we examine the relationship between stock return volatility and returns. Overall, the proposed model presents high profitability, in particular during ""bear"" market periods. © 2013 Elsevier Inc.","Machine learning; Neural networks; Stock predictability; Volatility trading",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062668948&doi=10.1016%2fj.procs.2019.01.008&partnerID=40&md5=714d8f4d5e93b00d91cefffe59bfdbf8","Time series analysis is an important field that, recently, captivate researchers attention. It represents a lot of real problems, one of them is the prediction of the stock prices. As known, the recurrent neural network (RNN) is the most used model for the prediction problem, since it gives good results for time series forecasting. This paper aims to forecast the stock price of Total Maroc for 29 days from Casablanca Stock Exchange, using principal component analysis (PCA) in order to reduce the number of features from eight to six. The use of dimensionality reduction enhances the accuracy of the recurrent neural network model and gives a good prediction for the stock price. © 2019 The Authors.","Forecasting Stock Prices; Principal Component Analysis; Recurrent Neural Network","Costs; Electronic trading; Financial markets; Forecasting; Intelligent computing; Recurrent neural networks; Time series analysis; Dimensionality reduction; Forecasting stock prices; Prediction problem; Real problems; Recurrent neural network (RNN); Recurrent neural network model; Stock exchange; Time series forecasting; Principal component analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065917523&doi=10.1007%2f978-3-030-19810-7_27&partnerID=40&md5=29e9d2d2190476b887ccdd0a100b5fbb","In recent years the advancement in neural network architecture and introduction of recurrent neural network has attracted a lot of interest to work with sequence data. LSTM is derived from the basic architecture of Recurrent Neural Network. It has memory units which extends the power of Recurrent Neural Network. In this paper, we analyze the performance of different advanced neural network architectures and classical time series forecasting method, e.g., ARIMA on selective stock prices from Dhaka Stock Exchange (DSE). Our experimental results show that the neural network models perform better than the ARIMA model in reducing RMSE (Root Mean Square Error). © Springer Nature Switzerland AG 2019.","ARIMA model; Gated recurrent unit; Long short term memory; Recurrent neural network; Stock price forecasting; Time series forecasting","Electronic trading; Financial markets; Forecasting; Long short-term memory; Mean square error; Memory architecture; Recurrent neural networks; Time series; ARIMA modeling; Financial forecasting; Gated recurrent unit; Performance analysis; RMSE (root mean square error); Statistical modeling; Stock price forecasting; Time series forecasting; Network architecture"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065197924&doi=10.21314%2fJCF.2018.358&partnerID=40&md5=5221681d4dc69884c3c16523563360d0","We present a method for conditional time series forecasting based on an adaptation of the recent deep convolutional WaveNet architecture. The proposed network contains stacks of dilated convolutions that allow it to access a broad range of historical data when forecasting. It also uses a rectified linear unit (ReLU) activation function, and conditioning is performed by applying multiple convolutional filters in parallel to separate time series, which allows for the fast processing of data and the exploitation of the correlation structure between the multivariate time series. We test and analyze the performance of the convolutional network both unconditionally and conditionally for financial time series forecasting using the Standard & Poor’s 500 index, the volatility index, the Chicago Board Options Exchange interest rate and several exchange rates, and we extensively compare its performance with those of the well-known autoregressive model and a long short-term memory network. We show that a convolutional network is well suited to regression-type problems and is able to effectively learn dependencies in and between the series without the need for long historical time series, that it is a time-efficient and easy-to-implement alternative to recurrent-type networks, and that it tends to outperform linear and recurrent models. © Infopro Digital Limited 2019. All rights reserved.","Convolutional neural network (CNN); Deep learning; Financial time series; Forecasting; Multivariate time series",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034213008&doi=10.1007%2f978-3-319-68612-7&partnerID=40&md5=39baac8a922fc20224c92664d71a4919","Forecasting financial time series using past observations has been a significant topic of interest. While temporal relationships in the data exist, they are difficult to analyze and predict accurately due to the non-linear trends and noise present in the series. We propose to learn these dependencies by a convolutional neural network. In particular the focus is on multivariate time series forecasting. Effectively, we use multiple financial time series as input in the neural network, thus conditioning the forecast of a time series x(t) on both its own history as well as that of a second (or third) time series y(t). Training a model on multiple stock series allows the network to exploit the correlation structure between these series so that the network can learn the market dynamics in shorter sequences of data. We show that long-term temporal dependencies in and between financial time series can be learned by means of a deep convolutional neural network based on the WaveNet model [2]. The network makes use of dilated convolutions applied to multiple time series so that the receptive field of the network is wide enough to learn both short and long-term dependencies. The architecture includes batch normalization and uses a 1 × k convolution with parametrized skip connections from the input time series as well as the time series we condition on, in this way learning long-term interdependencies in an efficient manner [1]. This improves the forecast, while at the same time limiting the requirement for a long historical price series and reducing the noise. Knowing the strong performance of CNNs on classification problems we show that they can be applied successfully to forecasting financial time series, without the need of large samples of data. We compare the performance of the WaveNet model to a state-of-the-art fully convolutional network (FCN), and an autoregressive model popular in econometrics and show that our model is much better able to learn important dependencies in between financial time series resulting in a more robust and accurate forecast. © Springer International Publishing AG 2017.","Convolutional neural network; Financial time series","Convolution; Deep neural networks; Economics; Finance; Financial data processing; Forecasting; Learning systems; Neural networks; Statistics; Auto regressive models; Convolutional neural network; Financial time series; Forecasting financial time series; Long-term dependencies; Multivariate time series; Temporal relationships; Time series forecasting; Time series"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061131265&doi=10.1007%2f978-3-030-10997-4_20&partnerID=40&md5=32d934560dd38fe2c4cc969c099ca107","Deep Learning is a consolidated, state-of-the-art Machine Learning tool to fit a function (Formula Presented) when provided with large data sets of examples (Formula Presented). However, in regression tasks, the straightforward application of Deep Learning models provides a point estimate of the target. In addition, the model does not take into account the uncertainty of a prediction. This represents a great limitation for tasks where communicating an erroneous prediction carries a risk. In this paper we tackle a real-world problem of forecasting impending financial expenses and incomings of customers, while displaying predictable monetary amounts on a mobile app. In this context, we investigate if we would obtain an advantage by applying Deep Learning models with a Heteroscedastic model of the variance of a network’s output. Experimentally, we achieve a higher accuracy than non-trivial baselines. More importantly, we introduce a mechanism to discard low-confidence predictions, which means that they will not be visible to users. This should help enhance the user experience of our product. © 2019, Springer Nature Switzerland AG.","Aleatoric models; Deep Learning; Time-series; Uncertainty","Forecasting; Machine learning; Time series; Uncertainty analysis; Confidence predictions; Heteroscedastic; Learning models; Real-world problem; State of the art; Uncertainty; Uncertainty modelling; User experience; Deep learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021906449&doi=10.1007%2f978-3-319-60438-1_69&partnerID=40&md5=b9e644aee3cbd114a691f74427e1b1b4","Predicting the future value of the stock is very difficult task, mostly because of a number of variables that need to be taken into account. This paper tackles problem of stock market predicting feasibility, especially when predictions are based only on a subset of available information, namely: financial experts’ recommendations. Analysis was based on data and results from ISMIS 2017 Data Mining Competition. An original method was proposed and evaluated. Participants managed to perform substantially better than random guessing, but no participant outperformed baseline solution. © Springer International Publishing AG 2017.","Artificial neural networks; Recurrent neural networks; Sequence modeling; Stock exchange; Time series prediction","Electronic trading; Financial markets; Forecasting; Intelligent systems; Neural networks; Expert recommendations; Financial experts; Sequence modeling; Stock exchange; Time series prediction; Recurrent neural networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882350479&doi=10.1007%2fs11227-012-0827-1&partnerID=40&md5=663588f686a46a9c7da0f8aaad27fffa","Forecasting volatility is an important issue in financial econometric analysis. This paper aims to seek a computationally feasible approach for predicting large scale conditional volatility and covariance of financial time series. In the case of multi-variant time series, the volatility is represented by a Conditional Covariance Matrix (CCM). Traditional models for predicting CCM such as GARCH models are incapable of dealing with high-dimensional cases as there are O(N 2) parameters to be estimated in the case of N-variant asset return, and it is difficult to accelerate the computation of estimating these parameters by utilizing modern multi-core architecture. These GARCH models also have difficulties in modeling non-linear properties. The widely used Restricted Boltzmann Machine (RBM) is an energy-based stochastic recurrent neural network and its extended model, Conditional RBM (CRBM), has shown its capability in modeling high-dimensional time series. In this paper, we first propose a CRBM-based approach to forecast CCM and show how to capture the long memory properties in volatility, and then we implement the proposed model on GPU by using CUDA and CUBLAS. Experiment results indicate that the proposed CRBM-based model obtains better forecasting accuracy for low-dimensional volatility and it also shows great potential in modeling for large-scale cases compared with traditional GARCH models. © 2012 Springer Science+Business Media New York.","Conditional restricted Boltzmann machine; Covariance matrix forecasting; GPU; High dimensional conditional covariance matrix; Neural network; Volatility forecasting","Conditional restricted boltzmann machines; Forecasting volatility; GPU; High-dimensional; Multicore architectures; Restricted boltzmann machine; Stochastic recurrent neural network; Volatility forecasting; Computer architecture; Computer software; Covariance matrix; Financial data processing; Neural networks; Recurrent neural networks; Stochastic models; Time series; Forecasting"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066486217&doi=10.1002%2fdac.3987&partnerID=40&md5=d02dd09dbe6500c17e643707d6789828","To forecast the future trend of financial activities through its rules, a convolutional neural network (CNN) is used to forecast stock index. Firstly, a CNN stock index prediction model is constructed, the structural parameter relationship of the CNN model is analyzed, and a CNN model algorithm is implemented. Secondly, the influence of model parameters on prediction results is discussed, and the stock index prediction model based on CNN-support vector machine (SVM) is established. At last, the empirical analysis is made, and the results show that the two prediction models are feasible and effective. It is concluded that the use of neural networks for financial prediction can deal with the continuous and categorical prediction variables and obtain good prediction results. © 2019 John Wiley & Sons, Ltd.","CNN; financial prediction; neural network; stock prediction","Convolution; Electronic trading; Financial markets; Neural networks; Support vector machines; Time series analysis; Convolution neural network; Convolutional neural network; Financial prediction; Financial time series; Stock index predictions; Stock predictions; Stock price forecasting; Structural parameter; Forecasting"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027469207&doi=10.1109%2fCCBD.2016.027&partnerID=40&md5=a67ab301d59ba5c3b7b50025c082a600","A novel financial time-series analysis method based on deep learning technique is proposed in this paper. In recent years, the explosive growth of deep learning researches have led to several successful applications in various artificial intelligence and multimedia fields, such as visual recognition, robot vision, and natural language processing. In this paper, we focus on the time-series data processing and prediction in financial markets. Traditional feature extraction approaches in intelligent trading decision support system are used to applying several technical indicators and expert rules to extract numerical features. The major contribution of this paper is to improve the algorithmic trading framework with the proposed planar feature representation methods and deep convolutional neural networks (CNN). The proposed system is implemented and benchmarked in the historical datasets of Taiwan Stock Index Futures. The experimental results show that the deep learning technique is effective in our trading simulation application, and may have greater potentialities to model the noisy financial data and complex social science problems. In the future, we expected that the proposed methods and deep learning framework could be applied to more innovative applications in the next financial technology (FinTech) generation. © 2016 IEEE.","convolutional neural networks; data visualization; Deep learning; machine learning; trend prediction","Artificial intelligence; Big data; Cloud computing; Commerce; Convolution; Data handling; Data visualization; Decision support systems; Deep learning; Deep neural networks; Finance; Financial data processing; Intelligent robots; Learning algorithms; Learning systems; Natural language processing systems; Network function virtualization; Neural networks; Time series analysis; Visual languages; Algorithmic trading; Convolutional neural network; Feature representation; Financial time series; Learning frameworks; Simulation applications; Technical indicator; Trend prediction; Electronic trading"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039937089&doi=10.1109%2fISC2.2017.8090834&partnerID=40&md5=b7eb0c3e8525dce5df0c24fc645c9ad0","Stock market prediction has attracted a lot of attention from both business and academia. In this paper, we implement a model based on Recurrent Neural Networks (RNN) with Gated Recurrent Units (GRU) to predict the stock volatility in the Chinese stock market. We also propose many price related features which are used as inputs for our model. Apart from that, we carefully select official accounts from Chinese largest online social networks-Sina Weibo and extract the content posted by these accounts to analyze the public moods. An influence feature is derived based on the public moods to further improve the prediction model. The experimental results show that our model outperforms the baseline method and can achieve a good prediction performance. © 2017 IEEE.","Online Social Networks; Recurrent Neural Networks; Time Series Prediction","Commerce; Electronic trading; Finance; Financial markets; Forecasting; Recurrent neural networks; Smart city; Baseline methods; Chinese stock market; On-line social networks; Prediction model; Prediction performance; Recurrent neural network (RNN); Stock market prediction; Time series prediction; Social networking (online)"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054354418&doi=10.1109%2fICSSSM.2018.8464968&partnerID=40&md5=ee5f0b79628055726543e835ba28b213","It has always been a challenging issue for people to understand the stock market and make reasonable predictions. For a very long period, investors are trying to manually extract useful features from the financial market which generates an enormous volume of data every single day. People create a lot of technical indicators like MACD, TR, MFI to describe momentum, volume and volatility signals of the financial time series. However, the limitation is evident due to the efficiency of manually feature engineering. With the rapidly growing volume of data, deep neural network shows excellent performance in many research areas like natural language processing, voice recognition, image identification. It provides a new view to dig out potentially useful information automatically. In this paper, we present a novel end-to-end training using an embedding method to automatically extract features and get a summary representation of the daily market. Moreover, we apply the Long Short-Term Memory (LSTM) with attention mechanism to predict daily return ratio of HS300 index. The features extracted by the embedding layer show greater predictive power than manually defined technical signals by 92.42% lower MSE. Moreover, the use of attention mechanism also provides an average enhance of 55.68% in MSE. Our study shows that deep neuron network structure has a strong potential for better understanding market complex behaviors. © 2018 IEEE.","Embedding Method; LSTM; Market Prediction; Market Vector; Technical Indicator",
