Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Dalko V.","56459045300;","High-frequency trading: Disruptive innovation enabled by information and communication technology and institutional setup",2019,"ICSIT 2019 - 10th International Conference on Society and Information Technologies, Proceedings",,,,"1","4",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065969090&partnerID=40&md5=5ea3188b5d00089ef691ecd9515c47f3","Department of Finance, Hult International Business School, Cambridge, MA  02141, United States","Dalko, V., Department of Finance, Hult International Business School, Cambridge, MA  02141, United States","Although high-frequency trading is in its adolescence in the U.S. equity markets, its dominance has disrupted the market ecology. The purpose of this paper is to analyse the key factors responsible for the emergence, dominance, and innovative success of high-frequency trading. The first area of focus is the role of information and communication technology that enables high-frequency trading to act as a disruptive innovation in the equity market. The second topic of focus is the existing and evolving institutional setup including regulatory change that is favourable to high-frequency trading. Key literature has demonstrated that high-frequency trading is innovative in order-based intraday trading strategies and disruptive in triggering short-term volatility and threatening market stability. Copyright © 2019 by the International Institute ofInformatics and Systemics.","Disruptive innovation; High-frequency trading; Information and communication technology; Institutional setup","Electronic trading; Financial markets; Disruptive innovations; Equity markets; High-frequency trading; Information and Communication Technologies; Institutional setup; Market stability; Regulatory change; Trading strategies; Commerce",Conference Paper,"Final",,Scopus,2-s2.0-85065969090
"Bigiotti A., Navarra A.","57204500042;35586765300;","Optimizing automated trading systems",2019,"Advances in Intelligent Systems and Computing","850",,,"254","261",,,"10.1007/978-3-030-02351-5_30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055830018&doi=10.1007%2f978-3-030-02351-5_30&partnerID=40&md5=e964119889af809e06e057c423921fdd","Department of Mathematics and Computer Science, University of Perugia, Perugia, Italy","Bigiotti, A., Department of Mathematics and Computer Science, University of Perugia, Perugia, Italy; Navarra, A., Department of Mathematics and Computer Science, University of Perugia, Perugia, Italy","In 2016, more than the 80% of transactions in the Forex market (where the world’s currencies trade) have been directed by robots. The design of profitable automatic trading systems is becoming a challenging process. This requires a strong synergy of economists and computer scientists. Our aim is to provide an optimization framework for trading systems that starting from a generic strategy, enhances its performances by exploiting mathematical constraints. Moreover, the growth of new markets requires suitable solutions integrating computer science tools with economic analysis. In this work, we mainly refer to an emerging market known as Binary Options. Starting from basic strategies used every day in the stock markets by professional traders, we show how optimization issues enhance the outcoming performances. Tests on the optimized algorithms are conducted on both historical and real time data. © Springer Nature Switzerland AG 2019.","Algorithmic optimization; Binary Options; Trading system","Commerce; Economic analysis; Algorithmic optimization; Automated trading systems; Binary Options; Computer scientists; Generic strategies; Optimization framework; Optimized algorithms; Trading systems; Electronic trading",Conference Paper,"Final",,Scopus,2-s2.0-85055830018
"Church G., Cliff D.","57211409775;55453739200;","A simulator for studying automated block trading on a coupled dark/lit financial exchange with reputation tracking",2019,"31st European Modeling and Simulation Symposium, EMSS 2019",,,,"284","293",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073803058&partnerID=40&md5=dc675e70296e69dd99517c940eba43fe","Department of Computer Science, University of Bristol, Bristol, BS8 1UB, United Kingdom","Church, G., Department of Computer Science, University of Bristol, Bristol, BS8 1UB, United Kingdom; Cliff, D., Department of Computer Science, University of Bristol, Bristol, BS8 1UB, United Kingdom","We describe a novel simulation of a contemporary real-world financial exchange: London Stock Exchange (LSE) Turquoise, and we also introduce a newly-created adaptive automated trading strategy called ISHV, which exhibits realistic behavior in situations where large orders can radically shift prices before transactions occur. LSE Turquoise is a recently-introduced platform where buying and selling takes place on a pair of coupled trading pools: a lit pool that is visible to all traders; and a dark pool where large ""block"" orders are hidden from sight until they are automatically matched with a counterparty, after which the transaction is then revealed. Orders from traders are routed to the lit or dark pool depending on their size, and on the reputation of the trader issuing the order. Unlike all other public-domain adaptive trading strategies, ISHV can alter the prices it quotes in anticipation of adverse price changes that are likely to occur when orders for block-trades are publicly visible: so-called market impact. LSE Turquoise is intended to reduce the negative effects of market impact; something that we test with our simulator. We extend the existing BSE open-source exchange simulator to incorporate coupled lit and dark pools, naming the new system BSELD. We show ISHV exhibiting market impact in a lit-only pool, and discuss how a Turquoise-style coupled dark pool reduces or eliminates that impact. We also show results from a Turquoise-style reputation-tracking mechanism, which can be used for modulating trader access control to the dark pool. © 2019 Dime Universita di Genova, DIMEG University of Calabria.","Automated trading; Dark pools; Economic simulation; Financial markets","Access control; Automation; Costs; Financial markets; Lakes; Open systems; Simulators; Automated trading; Dark pools; Economic simulation; London Stock Exchange; Market impacts; Public domains; Tracking mechanism; Trading strategies; Commerce",Conference Paper,"Final",,Scopus,2-s2.0-85073803058
"Vezeris D.T., Schinas C.J., Kyrgos T.S., Bizergianidou V.A., Karkanis I.P.","57201077778;6602792529;57208386174;57212505796;57212503600;","Optimization of Backtesting Techniques in Automated High Frequency Trading Systems Using the d-Backtest PS Method",2019,"Computational Economics",,,,"","",,,"10.1007/s10614-019-09956-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076888105&doi=10.1007%2fs10614-019-09956-1&partnerID=40&md5=8f12e808a6f44b3862a0761db5e3660e","Department of Electrical and Computer Engineering, Democritus University of Thrace, Xanthi, 67100, Greece; COSMOS4U, Xanthi, 67100, Greece","Vezeris, D.T., Department of Electrical and Computer Engineering, Democritus University of Thrace, Xanthi, 67100, Greece; Schinas, C.J., Department of Electrical and Computer Engineering, Democritus University of Thrace, Xanthi, 67100, Greece; Kyrgos, T.S., COSMOS4U, Xanthi, 67100, Greece; Bizergianidou, V.A., Department of Electrical and Computer Engineering, Democritus University of Thrace, Xanthi, 67100, Greece; Karkanis, I.P., COSMOS4U, Xanthi, 67100, Greece","Trading strategies intended for high frequency trading in Forex markets are executed by cutting-edge automated trading systems. Such systems implement algorithmic trading strategies and are configured with predefined optimized parameters in order to generate entry and exit orders and execute trades on trading platforms. Three high-frequency automated trading systems were developed in the current research, using the MACD (oscillator), the SMA (moving average) and the PIVOT points (price crossover) technical indicators. The systems traded on hourly time frames, employing historical data of closing prices and the parameter optimization for each system was done using the d-Backtest PS method over weekly periods. With this work we intend to extend the methods of parameter selection for automated trading systems in high frequency trading. Through this research and the interpretation and evaluation of its results, we conclude that backtesting parameters’ optimization, especially through the d-Backtest PS method, is much more profitable than the default values of the parameters and that the optimization of parameters yields the highest profits through the implementation of restrictive relationships among them. It is also observed that the selection of the most profitable parameters of a trading system can be unrestricted, rendering the validation of the minor divergence occurring among slightly varying prices redundant. Meanwhile, other conclusions that can be drawn are that the most profitable classification system employed by the d-Backtest PS method is calibrated by means of two validation periods and that the most efficient profitability ratio between historical data period and validation period is 6:1 (in- and out-of-the-sample ratio). © 2019, Springer Science+Business Media, LLC, part of Springer Nature.","Backtesting optimization algorithms; d-Backtest PS method; Exchange rates (AUDUSD, EURUSD, GBPUSD, USDCAD, USDJPY); Expert backtesting systems; Forex; MACD; Metals (XAUUSD); Optimal historical data period selection; PIVOT; SMA",,Article,"Article in Press",,Scopus,2-s2.0-85076888105
"Szücs C., Szücs S.","57199144817;35146658000;","The regulation of high frequency trading of securities [Die regulierung des hochfrequenzhandels von wertpapieren]",2019,"Jusletter IT",,"February",,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074446177&partnerID=40&md5=7cf1ace0d13bf6c19f25f12f3167e74f","Fachhochschule Oberösterreich/Campus Linz, Garnisonstraße 21, Linz, 4020, Austria","Szücs, C., Fachhochschule Oberösterreich/Campus Linz, Garnisonstraße 21, Linz, 4020, Austria; Szücs, S., Fachhochschule Oberösterreich/Campus Linz, Garnisonstraße 21, Linz, 4020, Austria",[No abstract available],,,Article,"Final",,Scopus,2-s2.0-85074446177
"Cartea Á., Gan L., Jaimungal S.","10640005400;57203455632;6602313862;","Hedge and speculate: Replicating option payoffs with limit and market orders",2019,"SIAM Journal on Financial Mathematics","10","3",,"790","814",,2,"10.1137/18M1192706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077260658&doi=10.1137%2f18M1192706&partnerID=40&md5=0c8fc885ad4f9c027a79a12875ad5935","Mathematics, University of Oxford, Oxford, OX2 9HB, United Kingdom; Department of Statistical Sciences, University of Toronto, Toronto, ON  M5T 1P5, Canada","Cartea, Á., Mathematics, University of Oxford, Oxford, OX2 9HB, United Kingdom; Gan, L., Department of Statistical Sciences, University of Toronto, Toronto, ON  M5T 1P5, Canada; Jaimungal, S., Department of Statistical Sciences, University of Toronto, Toronto, ON  M5T 1P5, Canada","We consider an agent who takes a short position in a contingent claim and employs limit orders (LOs) and market orders (MOs) to trade in the underlying asset to maximize expected utility of terminal wealth. The agent solves a combined optimal stopping and control problem where trading has frictions: MOs (executed by the agent and other traders) have permanent price impact and pay exchange fees, and LOs earn the spread (relative to the midprice of the asset) and pay no exchange fees. We show how the agent replicates the payoff of the claim and also speculates in the asset to maximize expected utility of terminal wealth. In the strategy, MOs are used to keep the inventory on target, to replicate the payoff, and LOs are employed to build the inventory at favorable prices and boost expected terminal wealth by executing roundtrip trades that earn the spread. We calibrate the model to the E-mini contract that tracks the S\&P 500 index, provide numerical examples of the performance of the strategy, and prove that our scheme converges to the viscosity solution of the dynamic programming equation. © 2019 Society for Industrial and Applied Mathematics Publications. All rights reserved.","Algorithmic trading; High-frequency trading; Impulse control; Market impact; Optimal hedging",,Article,"Final",,Scopus,2-s2.0-85077260658
"de Oliveira D.B., Cucinotta T., de Oliveira R.S.","56246851400;6506625665;16021234700;","Efficient Formal Verification for the Linux Kernel",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11724 LNCS",,,"315","332",,,"10.1007/978-3-030-30446-1_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072869563&doi=10.1007%2f978-3-030-30446-1_17&partnerID=40&md5=a38e121d3522bdf0a437c8bef421259b","RHEL Platform/Real-time Team, Red Hat, Inc., Pisa, Italy; RETIS Lab, Scuola Superiore Sant’Anna, Pisa, Italy; Department of Systems Automation, UFSC, Florianópolis, Brazil","de Oliveira, D.B., RHEL Platform/Real-time Team, Red Hat, Inc., Pisa, Italy, RETIS Lab, Scuola Superiore Sant’Anna, Pisa, Italy, Department of Systems Automation, UFSC, Florianópolis, Brazil; Cucinotta, T., RETIS Lab, Scuola Superiore Sant’Anna, Pisa, Italy; de Oliveira, R.S., Department of Systems Automation, UFSC, Florianópolis, Brazil","Formal verification of the Linux kernel has been receiving increasing attention in recent years, with the development of many models, from memory subsystems to the synchronization primitives of the real-time kernel. The effort in developing formal verification methods is justified considering the large code-base, the complexity in synchronization required in a monolithic kernel and the support for multiple architectures, along with the usage of Linux on critical systems, from high-frequency trading to self-driven cars. Despite recent developments in the area, none of the proposed approaches are suitable and flexible enough to be applied in an efficient way to a running kernel. Aiming to fill such a gap, this paper proposes a formal verification approach for the Linux kernel, based on automata models. It presents a method to auto-generate verification code from an automaton, which can be integrated into a module and dynamically added into the kernel for efficient on-the-fly verification of the system, using in-kernel tracing features. Finally, a set of experiments demonstrate verification of three models, along with performance analysis of the impact of the verification, in terms of latency and throughput of the system, showing the efficiency of the approach. © Springer Nature Switzerland AG 2019.","Automata; Linux kernel; Testing; Verification","Automata theory; Electronic trading; Formal verification; Memory architecture; Testing; Verification; Automata; Formal verification methods; High-frequency trading; Linux kernel; Memory subsystems; On-the fly verification; Performance analysis; Synchronization primitive; Linux",Conference Paper,"Final",,Scopus,2-s2.0-85072869563
"Chan K.F., Gray P., Pan Z.","56232766800;7402689267;56489324700;","The profitability of trading on large Lévy jumps",2019,"International Review of Finance",,,,"","",,,"10.1111/irfi.12279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069859005&doi=10.1111%2firfi.12279&partnerID=40&md5=80b11dd3a8a6c007ea8b8a7f7d627c97","UWA Business School, The University of Western Australia, Perth, WA, Australia; Department of Banking and Finance, Monash Business School, Monash University, Clayton, VIC, Australia; Department of Applied Finance, Macquarie Business School, Macquarie University, Sydney, NSW, Australia","Chan, K.F., UWA Business School, The University of Western Australia, Perth, WA, Australia; Gray, P., Department of Banking and Finance, Monash Business School, Monash University, Clayton, VIC, Australia; Pan, Z., Department of Applied Finance, Macquarie Business School, Macquarie University, Sydney, NSW, Australia","While past research has studied the profitability of trading based on jump signals, the notion of differentiating between jumps according to their magnitude has received relatively little attention. We utilize the approach of Lee and Hannig (2010) to identify Lévy jumps and classify them as small and large. The empirical analysis shows that the arrival of large Lévy jumps provides a strong trading signal in five major equity markets. In contrast, the signal from small Lévy jumps is negligible. © 2019 International Review of Finance Ltd. 2019","high-frequency trading; jump trading strategy; Lévy jumps",,Article,"Article in Press",,Scopus,2-s2.0-85069859005
"Ntakaris A., Mirone G., Kanniainen J., Gabbouj M., Iosifidis A.","57203684567;57208936097;23394868200;7005332419;36720841400;","Feature Engineering for Mid-Price Prediction with Deep Learning",2019,"IEEE Access","7",, 8743410,"82390","82412",,4,"10.1109/ACCESS.2019.2924353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068671731&doi=10.1109%2fACCESS.2019.2924353&partnerID=40&md5=ce84f8d3a8a27d423df458c0368bcba5","Faculty of Information Technology and Communication Sciences, Tampere University of Technology, Tampere, FI-33720, Finland; Danmarks Nationalbank, Copenhagen, 1093, Denmark; Department of Electrical and Computer Engineering, Aarhus University, Aarhus, 8000, Denmark","Ntakaris, A., Faculty of Information Technology and Communication Sciences, Tampere University of Technology, Tampere, FI-33720, Finland; Mirone, G., Danmarks Nationalbank, Copenhagen, 1093, Denmark; Kanniainen, J., Faculty of Information Technology and Communication Sciences, Tampere University of Technology, Tampere, FI-33720, Finland; Gabbouj, M., Faculty of Information Technology and Communication Sciences, Tampere University of Technology, Tampere, FI-33720, Finland; Iosifidis, A., Department of Electrical and Computer Engineering, Aarhus University, Aarhus, 8000, Denmark","Mid-price movement prediction based on the limit order book data is a challenging task due to the complexity and dynamics of the limit order book. So far, there have been very limited attempts for extracting relevant features based on the limit order book data. In this paper, we address this problem by designing a new set of handcrafted features and performing an extensive experimental evaluation on both liquid and illiquid stocks. More specifically, we present an extensive set of econometric features that capture the statistical properties of the underlying securities for the task of mid-price prediction. The experimental evaluation consists of a head-to-head comparison with other handcrafted features from the literature and with features extracted from a long short-term memory autoencoder by means of a fully automated process. Moreover, we develop a new experimental protocol for online learning that treats the task above as a multi-objective optimization problem and predicts: 1) the direction of the next price movement and; 2) the number of order book events that occur until the change takes place. In order to predict the mid-price movement, features are fed into nine different deep learning models based on multi-layer perceptrons, convolutional neural networks, and long short-term memory neural networks. The performance of the proposed method is then evaluated on liquid and illiquid stocks (i.e., TotalView-ITCH US and Nordic stocks). For some stocks, results suggest that the correct choice of a feature set and a model can lead to the successful prediction of how long it takes to have a stock price movement. © 2019 IEEE.","Deep learning; econometrics; high-frequency trading; limit order book; mid-price; U.S. data","Automation; Brain; Correlation theory; Economics; Electronic trading; Financial markets; Forecasting; Long short-term memory; Motion estimation; Multilayer neural networks; Multiobjective optimization; Statistics; econometrics; High-frequency trading; Limit order book; mid-price; U.S. data; Deep learning",Article,"Final",Open Access,Scopus,2-s2.0-85068671731
"Tsimpoukis D., Baarslag T., Kaisers M., Paterakis N.G.","57218600203;54402337800;23090884100;56327005200;","Automated Negotiations Under User Preference Uncertainty: A Linear Programming Approach",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11327 LNAI",,,"115","129",,2,"10.1007/978-3-030-17294-7_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064942807&doi=10.1007%2f978-3-030-17294-7_9&partnerID=40&md5=7a2509c946eaa8c1c54255045b62912b","Centrum Wiskunde & Informatica, Science Park 123, Amsterdam, 1098 XG, Netherlands; Technische Universiteit Eindhoven, De Zaale, Eindhoven, 5600 MB, Netherlands; Department of Information and Computing Sciences, Utrecht University, Princetonplein 5, Utrecht, 3584 CC, Netherlands","Tsimpoukis, D., Centrum Wiskunde & Informatica, Science Park 123, Amsterdam, 1098 XG, Netherlands, Technische Universiteit Eindhoven, De Zaale, Eindhoven, 5600 MB, Netherlands; Baarslag, T., Centrum Wiskunde & Informatica, Science Park 123, Amsterdam, 1098 XG, Netherlands, Department of Information and Computing Sciences, Utrecht University, Princetonplein 5, Utrecht, 3584 CC, Netherlands; Kaisers, M., Centrum Wiskunde & Informatica, Science Park 123, Amsterdam, 1098 XG, Netherlands; Paterakis, N.G., Technische Universiteit Eindhoven, De Zaale, Eindhoven, 5600 MB, Netherlands","Autonomous agents negotiating on our behalf find applications in everyday life in many domains such as high frequency trading, cloud computing and the smart grid among others. The agents negotiate with one another to reach the best agreement for the users they represent. An obstacle in the future of automated negotiators is that the agent may not always have a priori information about the preferences of the user it represents. The purpose of this work is to develop an agent that will be able to negotiate given partial information about the user’s preferences. First, we present a new partial information model that is supplied to the agent, which is based on categorical data in the form of pairwise comparisons of outcomes instead of precise utility information. Using this partial information, we develop an estimation model that uses linear optimization and translates the information into utility estimates. We test our methods in a negotiation scenario based on a smart grid cooperative where agents participate in energy trade-offs. The results show that already with very limited information the model becomes accurate quickly and performs well in an actual negotiation setting. Our work provides valuable insight into how uncertainty affects an agent’s negotiation performance, how much information is needed to be able to formulate an accurate user model, and shows a capability of negotiating effectively with minimal user feedback. © Springer Nature Switzerland AG 2019.",,"Commerce; Economic and social effects; Electric power transmission networks; Electronic trading; Information use; Linear programming; Smart power grids; Automated negotiations; High-frequency trading; Limited information; Linear optimization; Pair-wise comparison; Partial information; Partial information model; Preference uncertainty; Autonomous agents",Conference Paper,"Final",,Scopus,2-s2.0-85064942807
"Hemelhof J., Mihaylov M., Nowé A.","57211806795;55545899100;6601969061;","Improving zero-intelligence plus for call markets",2019,"CEUR Workshop Proceedings","2491",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075058497&partnerID=40&md5=35eddf6844f9e038e177e9b1527a8997","Vrije Universiteit Brussel, Pleinlaan 2, Elsene, 1050, Belgium; i.LECO, Kleinhoefstraat 6, Geel, 2440, Belgium","Hemelhof, J., Vrije Universiteit Brussel, Pleinlaan 2, Elsene, 1050, Belgium; Mihaylov, M., Vrije Universiteit Brussel, Pleinlaan 2, Elsene, 1050, Belgium, i.LECO, Kleinhoefstraat 6, Geel, 2440, Belgium; Nowé, A., Vrije Universiteit Brussel, Pleinlaan 2, Elsene, 1050, Belgium","Double auctions have been widely employed and studied throughout history. Two particular variants are most commonly employed: The Call Market (CALL), also known as the Periodic Double Auction, and the Continuous Double Auction (CDA). While numerous automated trading strategies exist for the Continuous Double Auction, there is a lack of high performing strategies for CALL. The former auction variant is becoming increasingly popular in the context of energy-related auctions in Smart Grids. Therefore, there is a need for efficient trading strategies. This paper explores whether a well-performing trading strategy designed for CDA, namely Zero-Intelligence Plus (ZIP) can be used in CALL. We first study the performance of the ZIP trader in CALL without any modifications. We then design several strategies and demonstrate that we can significantly improve the performance of ZIP in CALL while retaining the market’s high efficiency. As a result, our modified ZIP trader can be employed by autonomous agents, e.g. for trading energy in a CALL in the Smart Grid domain. © 2019 for this paper by its authors.","Automated trading agents; Call markets; Continuous double auctions; Zero-intelligence plus","Autonomous agents; Electric power transmission networks; Linguistics; Machine learning; Smart power grids; Automated trading; Continuous double auction; Double auction; High-efficiency; Smart grid; Trading strategies; Zero intelligence plus; ZIP traders; Commerce",Conference Paper,"Final",,Scopus,2-s2.0-85075058497
"Kozierkiewicz A., Hernes M., Nguyen T.T.","23393318200;16202632600;57212284036;","An Application a Two-Level Determination Consensus Method in a Multi-agent Financial Decisions Support System",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11431 LNAI",,,"453","463",,,"10.1007/978-3-030-14799-0_39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064561682&doi=10.1007%2f978-3-030-14799-0_39&partnerID=40&md5=93db4a454c07db8a494ce9a91f19ae79","Faculty of Computer Science and Management, Wroclaw University of Science and Technology, Wrocław, Poland; Wrocław University of Economics, Wrocław, Poland; Nguyen Tat Thanh University, Ho Chi Minh City, Viet Nam","Kozierkiewicz, A., Faculty of Computer Science and Management, Wroclaw University of Science and Technology, Wrocław, Poland; Hernes, M., Wrocław University of Economics, Wrocław, Poland; Nguyen, T.T., Nguyen Tat Thanh University, Ho Chi Minh City, Viet Nam","Supporting financial decisions, including Foreign Exchange Market (Forex) is recently realized more often by using multi-agent systems. On this market currencies are traded against one another in pairs. The quotations are in High Frequency Trading. The supporting decisions on Forex rely on provide, by a multi-agent system, as soon as possible advice on what position should be taken: long, short or none. This advice is given by different investment strategies based on agents running based on statistics, economics, mathematics or artificial intelligence methods. However, these strategies are not optimized in terms of HFT (the computational complexity of these strategies is too high and the signals for open/close positions are too late in many cases). Due this fact, the main problem which appear concerns decreasing a computational complexity of the strategy applied in a multi-agent financial decisions support system. In our research we have assumed that for building HFT investment strategy in a-Trader system, the consensus methods are applied. In many cases determination a consensus is impossible to achieve in the required time using only a one-level determination method in which all of the incoming agents’ knowledge is processed at the same time. A decomposition of a task of determining a consensus into smaller subtasks and their parallelization can solve the mentioned problem. The aim of this paper is to develop a method for a multi-level consensus determining, in order to build a HFT investment strategy in a-Trader multi-agent system. © 2019, Springer Nature Switzerland AG.","Consensus; Forex; Multi-agent system","Commerce; Computational complexity; Database systems; Electronic trading; Intelligent agents; Investments; Strategic planning; Artificial intelligence methods; Consensus; Consensus methods; Determination methods; Financial decisions; Forex; High-frequency trading; Investment strategy; Multi agent systems",Conference Paper,"Final",,Scopus,2-s2.0-85064561682
"Ito K., Sakemoto R.","57207621741;57195986679;","Direct Estimation of Lead–Lag Relationships Using Multinomial Dynamic Time Warping",2019,"Asia-Pacific Financial Markets",,,,"","",,,"10.1007/s10690-019-09295-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076052252&doi=10.1007%2fs10690-019-09295-z&partnerID=40&md5=006bbaf8b03c509856435cf63f3b6f57","Graduate School of Economics, The University of Tokyo, 7-3-1 Hongo, Bunkyo, Tokyo  113-8654, Japan; YJFX, Inc., Tokyo, Japan; Keio University, Kioi Tower, Tokyo Garden Terrace Kioicho, 1-3, Kioicho, Chiyoda, Tokyo  102-8282, Japan","Ito, K., Graduate School of Economics, The University of Tokyo, 7-3-1 Hongo, Bunkyo, Tokyo  113-8654, Japan; Sakemoto, R., YJFX, Inc., Tokyo, Japan, Keio University, Kioi Tower, Tokyo Garden Terrace Kioicho, 1-3, Kioicho, Chiyoda, Tokyo  102-8282, Japan","This paper investigates the lead–lag relationships in high-frequency data. We propose multinomial dynamic time warping (MDTW) that deals with non-synchronous observation, vast data, and time-varying lead–lag. MDTW directly estimates the lead–lags without lag candidates. Its computational complexity is linear with respect to the number of observation and it does not depend on the number of lag candidates. The experiments adopting artificial data and market data illustrate the effectiveness of our method compared to the existing methods. © 2019, Springer Japan KK, part of Springer Nature.","Dynamic time warping; High frequency trading; Lead–lag relationships",,Article,"Article in Press",,Scopus,2-s2.0-85076052252
"Miles B., Cliff D.","57211407721;55453739200;","A cloud-native globally distributed financial exchange simulator for studying real-world trading-latency issues at planetary scale",2019,"31st European Modeling and Simulation Symposium, EMSS 2019",,,,"294","303",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073789185&partnerID=40&md5=3671b4bbcdb23cf0212b4da1d9f4a0d2","Department of Computer Science, University of Bristol, Bristol, BS8 1UB, United Kingdom","Miles, B., Department of Computer Science, University of Bristol, Bristol, BS8 1UB, United Kingdom; Cliff, D., Department of Computer Science, University of Bristol, Bristol, BS8 1UB, United Kingdom","We describe a new public-domain open-source simulator of an electronic financial exchange, and of the traders that interact with the exchange, which is a truly distributed and cloud-native system that been designed to run on widely available commercial cloud-computing services, and in which various components can be placed in specified geographic regions around the world, thereby enabling the study of planetary-scale latencies in contemporary automated trading systems. The speed at which a trader can react to changes in the market is a key concern in current financial markets but is difficult to study latency issues using conventional market simulators, and is extremely difficult to study ""in the wild"" because of the financial and regulatory barriers to entry in conducting experimental work on real financial exchanges. Our simulator allows an exchange server to be launched in the cloud, specifying a particular geographic zone for the cloud hosting service; automated-trading clients which attach to the exchange can then also be launched in the cloud, in the same geographic zone and/or in different zones anywhere else on the planet, and those clients are then subject to the real-world latencies introduced by planetary-scale cloud communication interconnections. In this paper we describe the design and implementation of our simulator, called DBSE, which is based on a previous public-domain simulator, extended in ways that are partly inspired by the architecture of the real-world Jane Street Exchange. DBSE relies fundamentally on UDP and TCP network communications protocols and implements a subset of the FIX de facto standard protocol for financial information exchange. We show results from an example in which the exchange server is remotely launched on a cloud facility located in London (UK), with trader clients running in Ohio (USA) and Sydney (Australia). We close with discussion of how our simulator could be further used to study planetary-scale latency arbitrage in financial markets. © 2019 Dime Universita di Genova, DIMEG University of Calabria.","Automated trading; Cloud-based simulations; Electronic markets; Financial exchanges","Automation; Commerce; Financial markets; Open systems; Simulators; Automated trading; Automated trading systems; Cloud communications; Cloud computing services; Cloud-based; Design and implementations; Electronic market; Financial information; Distributed computer systems",Conference Paper,"Final",,Scopus,2-s2.0-85073789185
"Wu P., Li X.","57212190636;36986730000;","Transaction Cost Analysis via Label-Spreading Learning",2019,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","294 LNCIST",,,"444","454",,,"10.1007/978-3-030-32388-2_38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076136518&doi=10.1007%2f978-3-030-32388-2_38&partnerID=40&md5=582fcabf1e9c29b1c6f5874bae1c9e5a","College of Computer and Information, Hohai University, Nanjing, China","Wu, P., College of Computer and Information, Hohai University, Nanjing, China; Li, X., College of Computer and Information, Hohai University, Nanjing, China","When the investment institution analyzes the transaction cost of stock orders, it is costly to obtain the transaction cost of the stock orders by trading it. In contrast, many simulated trading orders cannot get the exact transaction cost. Due to the lack of enough labeled data, it is usually hard to use a supervised learner to estimate accurate transaction cost of stock orders. Label-spreading, a graph-based semi-supervised learner, can integrate a small number of labeled real orders and a large number of unlabeled simulated orders, and train a learner simultaneously. Using a RBF kernel, the learner constructs a graph structure through the spatial similarity measure between the transaction cost samples, and propagates the label through edges of graph in high-dimensional space. The results of experiments show that the label-spreading learner can make full use of the information of unlabeled data to improve classification of transaction cost. © 2019, ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering.","Algorithm trading; Label-spreading; Semi-supervised learning","Classification (of information); Commerce; Cost benefit analysis; Graphic methods; Learning algorithms; Machine learning; Supervised learning; Algorithm trading; Graph structures; High dimensional spaces; Semi- supervised learning; Semi-supervised; Spatial similarity; Transaction cost; Transaction cost analysis; Costs",Conference Paper,"Final",,Scopus,2-s2.0-85076136518
